palabra;definicion;grammatical;nivel2;tematica
arm;;Nouns;Pre A1 Starters;Animals
bee;;Nouns;Pre A1 Starters;Animals
cat;;Nouns;Pre A1 Starters;Animals
cow;;Nouns;Pre A1 Starters;Animals
dog;;Nouns;Pre A1 Starters;Animals
ear;;Nouns;Pre A1 Starters;Animals
eye;;Nouns;Pre A1 Starters;Animals
fat;;Adjectives;A1 Movers;Animals
fur;;Nouns;A1 Movers;Animals
leg;;Nouns;Pre A1 Starters;Animals
pet;;Nouns;Pre A1 Starters;Animals
toe;;Nouns;A2 Flyers;Animals
bag;;Nouns;Pre A1 Starters;Clothes
cap;;Nouns;Pre A1 Starters;Clothes
hat;;Nouns;Pre A1 Starters;Clothes
bag;;noun;B1 Preliminar;Clothes
cap;;noun;B1 Preliminar;Clothes
hat;;noun;B1 Preliminar;Clothes
kit;;noun;B1 Preliminar;Clothes
tie;;noun & verb;B1 Preliminar;Clothes
red;;adjective;B1 Preliminar;Colours
red;;Adjectives;Pre A1 Starters;Colours
app;;noun;B1 Preliminar;Communications and Technology
dot;;noun;B1 Preliminar;Communications and Technology
net;;noun;B1 Preliminar;Communications and Technology
fax;;noun & verb;B1 Preliminar;Communications and Technology
art;;noun;B1 Preliminar;Education
web;;noun;B1 Preliminar;Education
fun;;adjective & noun;B1 Preliminar;Entertainment and Media
row;;noun;B1 Preliminar;Entertainment and Media
act;;noun & verb;B1 Preliminar;Entertainment and Media
gas;;noun;B1 Preliminar;Environment
boy;;Nouns;Pre A1 Starters;Family & friends
dad;;Nouns;Pre A1 Starters;Family & friends
kid;;Nouns;Pre A1 Starters;Family & friends
mum;;Nouns;Pre A1 Starters;Family & friends
old;;Adjectives;Pre A1 Starters;Family & friends
son;;Nouns;A1 Movers;Family & friends
cup;;Nouns;A1 Movers;Food & drink
eat;;Verbs irregular;Pre A1 Starters;Food & drink
egg;;Nouns;Pre A1 Starters;Food & drink
jam;;Nouns;A1 Movers;Food & drink
pea;;Nouns;Pre A1 Starters;Food & drink
pie;;Nouns;Pre A1 Starters;Food & drink
tea;;Nouns;A1 Movers;Food & drink
hot;;adjective;B1 Preliminar;Food & drink
box;;noun;B1 Preliminar;Food & drink
cup;;noun;B1 Preliminar;Food & drink
egg;;noun;B1 Preliminar;Food & drink
ice;;noun;B1 Preliminar;Food & drink
jam;;noun;B1 Preliminar;Food & drink
jug;;noun;B1 Preliminar;Food & drink
oil;;noun;B1 Preliminar;Food & drink
pan;;noun;B1 Preliminar;Food & drink
pea;;noun;B1 Preliminar;Food & drink
pie;;noun;B1 Preliminar;Food & drink
tea;;noun;B1 Preliminar;Food & drink
cut;;noun & verb;B1 Preliminar;Food & drink
eat;;verb;B1 Preliminar;Food & drink
fry;;verb;B1 Preliminar;Food & drink
cry;;Verbs regular;A1 Movers;Health
cut;;Verbs irregular;A1 Movers;Health
ill;;Adjectives;A1 Movers;Health
ill;;adjective;B1 Preliminar;Health
fit;;adjective & verb;B1 Preliminar;Health
arm;;noun;B1 Preliminar;Health
ear;;noun;B1 Preliminar;Health
eye;;noun;B1 Preliminar;Health
flu;;noun;B1 Preliminar;Health
gym;;noun;B1 Preliminar;Health
leg;;noun;B1 Preliminar;Health
run;;noun;B1 Preliminar;Health
toe;;noun;B1 Preliminar;Health
die;;verb;B1 Preliminar;Health
fan;;noun;B1 Preliminar;Hobbies and Leisure
bed;;noun;B1 Preliminar;House and Home
bin;;noun;B1 Preliminar;House and Home
key;;noun;B1 Preliminar;House and Home
mug;;noun;B1 Preliminar;House and Home
tap;;noun;B1 Preliminar;House and Home
toy;;noun;B1 Preliminar;House and Home
ask;;verb;B1 Preliminar;Language
say;;verb;B1 Preliminar;Language
bad;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
mad;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
old;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
sad;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
get;;Verbs irregular;A1 Movers;Places
map;;Nouns;A1 Movers;Places
way;;Nouns;A2 Flyers;Places
zoo;;Nouns;Pre A1 Starters;Places
bay;;noun;B1 Preliminar;Places
sea;;noun;B1 Preliminar;Places
sky;;noun;B1 Preliminar;Places
art;;Nouns;A1 Movers;School
ask;;Verbs regular;Pre A1 Starters;School
bin;;Nouns;A1 Movers;School
gym;;Nouns;A1 Movers;School
pen;;Nouns;Pre A1 Starters;School
