palabra;definicion;grammatical;nivel2;tematica;nivel
real;actually existing;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
bossy;always telling others what to do;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
cute;attractive in a pretty way;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
funny;causing laughter;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
cruel;causing pain deliberately;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
icy;covered with ice;adjective;B1 Preliminar;Weather;
wet;covered with water;adjective;B1 Preliminar;Weather;
keen;eager or enthusiastic;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
due;expected to arrive or happen;adjective;B1 Preliminar;Transport;
dear;expensive or beloved;adjective;B1 Preliminar;Shopping;
quick;fast;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
sick;feeling ill;adjective;B1 Preliminar;Health;
happy;feeling pleasure;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
sorry;feeling regret;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
angry;feeling strong displeasure;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
sad;feeling unhappy or sorrowful;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
bored;feeling weary from lack of interest;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
foggy;full of fog;adjective;B1 Preliminar;Weather;
sunny;full of sunshine;adjective;B1 Preliminar;Weather;
hot;having a high temperature;adjective;B1 Preliminar;Food & drink;
fond;having a liking for;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
rich;having a lot of money;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
busy;having a lot to do;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
fat;having excess body weight or tissue;adjective;B1 Preliminar;;
lucky;having good fortune;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
tall;having great height;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
poor;having little money;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
old;having lived for a long time;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
young;having lived for a short time;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
warm;having moderate heat;adjective;B1 Preliminar;Weather;
red;having the color of blood or fire;adjective;B1 Preliminar;Colours;
white;having the color of snow;adjective;B1 Preliminar;Colours;
yellow;having the color of the sun or lemons;adjective;B1 Preliminar;Colours;
able;having the power or skill to do something;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
absent;having the quality of being absent;adjective;B1 Preliminar;Education;
afraid;having the quality of being afraid;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
aged;having the quality of being aged;adjective;B1 Preliminar;;
alive;having the quality of being alive;adjective;B1 Preliminar;;
amazed;having the quality of being amazed;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
awake;having the quality of being awake;adjective;B1 Preliminar;;
bald;having the quality of being bald;adjective;B1 Preliminar;;
basic;having the quality of being basic;adjective;B1 Preliminar;;
blank;having the quality of being blank;adjective;B1 Preliminar;;
blind;having the quality of being blind;adjective;B1 Preliminar;House and Home;
boiled;having the quality of being boiled;adjective;B1 Preliminar;Food & drink;
bold;having the quality of being bold;adjective;B1 Preliminar;;
boring;having the quality of being boring;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
born;having the quality of being born;adjective;B1 Preliminar;;
brief;having the quality of being brief;adjective;B1 Preliminar;;
broad;having the quality of being broad;adjective;B1 Preliminar;;
clever;having the quality of being clever;adjective;B1 Preliminar;Education;
cosy;having the quality of being cosy;adjective;B1 Preliminar;;
curly;having the quality of being curly;adjective;B1 Preliminar;;
dead;having the quality of being dead;adjective;B1 Preliminar;Health;
deaf;having the quality of being deaf;adjective;B1 Preliminar;;
dirty;having the quality of being dirty;adjective;B1 Preliminar;;
dull;having the quality of being dull;adjective;B1 Preliminar;;
dusty;having the quality of being dusty;adjective;B1 Preliminar;;
elder;having the quality of being elder;adjective;B1 Preliminar;;
empty;having the quality of being empty;adjective;B1 Preliminar;;
equal;having the quality of being equal;adjective;B1 Preliminar;;
exact;having the quality of being exact;adjective;B1 Preliminar;;
false;having the quality of being false;adjective;B1 Preliminar;;
famous;having the quality of being famous;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
fresh;having the quality of being fresh;adjective;B1 Preliminar;Food & drink;
fried;having the quality of being fried;adjective;B1 Preliminar;Food & drink;
full;having the quality of being full;adjective;B1 Preliminar;;
gentle;having the quality of being gentle;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
giant;having the quality of being giant;adjective;B1 Preliminar;;
golden;having the quality of being golden;adjective;B1 Preliminar;Colours;
guilty;having the quality of being guilty;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
horror;having the quality of being horror;adjective;B1 Preliminar;Entertainment and Media;
huge;having the quality of being huge;adjective;B1 Preliminar;;
humid;having the quality of being humid;adjective;B1 Preliminar;Weather;
large;having the quality of being large;adjective;B1 Preliminar;;
local;having the quality of being local;adjective;B1 Preliminar;;
loose;having the quality of being loose;adjective;B1 Preliminar;;
lost;having the quality of being lost;adjective;B1 Preliminar;;
loud;having the quality of being loud;adjective;B1 Preliminar;;
lovely;having the quality of being lovely;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
main;having the quality of being main;adjective;B1 Preliminar;;
messy;having the quality of being messy;adjective;B1 Preliminar;;
modern;having the quality of being modern;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
nasty;having the quality of being nasty;adjective;B1 Preliminar;;
neat;having the quality of being neat;adjective;B1 Preliminar;;
normal;having the quality of being normal;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
pale;having the quality of being pale;adjective;B1 Preliminar;;
plain;having the quality of being plain;adjective;B1 Preliminar;;
proud;having the quality of being proud;adjective;B1 Preliminar;;
pure;having the quality of being pure;adjective;B1 Preliminar;;
rare;having the quality of being rare;adjective;B1 Preliminar;;
rough;having the quality of being rough;adjective;B1 Preliminar;;
safe;having the quality of being safe;adjective;B1 Preliminar;;
scary;having the quality of being scary;adjective;B1 Preliminar;;
sharp;having the quality of being sharp;adjective;B1 Preliminar;;
shiny;having the quality of being shiny;adjective;B1 Preliminar;;
short;having the quality of being short;adjective;B1 Preliminar;;
silly;having the quality of being silly;adjective;B1 Preliminar;;
sore;having the quality of being sore;adjective;B1 Preliminar;;
so-so;having the quality of being so-so;adjective;B1 Preliminar;;
sour;having the quality of being sour;adjective;B1 Preliminar;Food & drink;
spicy;having the quality of being spicy;adjective;B1 Preliminar;Food & drink;
steep;having the quality of being steep;adjective;B1 Preliminar;;
strong;having the quality of being strong;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
stupid;having the quality of being stupid;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
tasty;having the quality of being tasty;adjective;B1 Preliminar;Food & drink;
thick;having the quality of being thick;adjective;B1 Preliminar;;
thin;having the quality of being thin;adjective;B1 Preliminar;;
tight;having the quality of being tight;adjective;B1 Preliminar;;
tiny;having the quality of being tiny;adjective;B1 Preliminar;;
ugly;having the quality of being ugly;adjective;B1 Preliminar;;
unable;having the quality of being unable;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
unfit;having the quality of being unfit;adjective;B1 Preliminar;;
upper;having the quality of being upper;adjective;B1 Preliminar;;
upset;having the quality of being upset;adjective;B1 Preliminar;;
useful;having the quality of being useful;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
usual;having the quality of being usual;adjective;B1 Preliminar;;
weak;having the quality of being weak;adjective;B1 Preliminar;;
wide;having the quality of being wide;adjective;B1 Preliminar;;
wise;having the quality of being wise;adjective;B1 Preliminar;;
worth;having the quality of being worth;adjective;B1 Preliminar;;
true;in accordance with fact;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
wrong;incorrect;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
smart;intelligent;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
big;large in size or extent;adjective;B1 Preliminar;;
small;little in size;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
wild;living in nature;adjective;B1 Preliminar;The Natural World;
noisy;making a lot of sound;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
quiet;making little sound;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
long;measuring a great distance;adjective;B1 Preliminar;;
tired;needing rest or sleep;adjective;B1 Preliminar;Health;
shy;nervous or timid with other people;adjective;B1 Preliminar;;
raw;not cooked;adjective;B1 Preliminar;;
easy;not difficult;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
cheap;not expensive;adjective;B1 Preliminar;Shopping;
ill;not feeling well or healthy;adjective;B1 Preliminar;Health;
soft;not hard;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
low;not high or tall;adjective;B1 Preliminar;;
slow;not moving fast;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
rude;not polite;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
mild;not severe;adjective;B1 Preliminar;Weather;
good;of high quality or morally right;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
bad;of poor quality or morally wrong;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
calm;peaceful and quiet;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
nice;pleasant or kind;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
glad;pleased or happy;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
ready;prepared;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
new;recently made or created;adjective;B1 Preliminar;;
brave;showing courage;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
slim;thin in an attractive way;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
lazy;unwilling to work;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
mad;very angry or mentally ill;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
awful;very bad;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
great;very good or large;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
hungry;wanting to eat;adjective;B1 Preliminar;Food & drink;
heavy;weighing a lot;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
windy;with strong winds;adjective;B1 Preliminar;Weather;
closed;;adjective;B1 Preliminar;Shopping;
cloudy;;adjective;B1 Preliminar;Weather;
frozen;;adjective;B1 Preliminar;Weather;
active;;adjective;B1 Preliminar;;
annual;;adjective;B1 Preliminar;;
asleep;;adjective;B1 Preliminar;;
bitter;;adjective;B1 Preliminar;;
bright;;adjective;B1 Preliminar;;
broken;;adjective;B1 Preliminar;;
casual;;adjective;B1 Preliminar;;
former;;adjective;B1 Preliminar;;
guided;;adjective;B1 Preliminar;;
