palabra,definicion,nivel2,past_participle,past_simple,tipo
tie,,B1 Preliminar,,,
fax,,B1 Preliminar,,,
act,,B1 Preliminar,,,
eat,,Pre A1 Starters,,,
cut,,B1 Preliminar,,,
eat,,B1 Preliminar,,,
fry,,B1 Preliminar,,,
cry,,A1 Movers,,,
cut,,A1 Movers,,,
fit,,B1 Preliminar,,,
die,,B1 Preliminar,,,
ask,,B1 Preliminar,,,
say,,B1 Preliminar,,,
get,,A1 Movers,,,
ask,,Pre A1 Starters,,,
sit,,Pre A1 Starters,,,
buy,,B1 Preliminar,,,
win,,B1 Preliminar,,,
hop,,A1 Movers,,,
run,,Pre A1 Starters,,,
fly,,B1 Preliminar,,,
dry,,B1 Preliminar,,,
own,,B1 Preliminar,,,
may,,B1 Preliminar,,,
can,,B1 Preliminar,,,
aim,,B1 Preliminar,,,
cry,,B1 Preliminar,,,
end,,B1 Preliminar,,,
hit,,B1 Preliminar,,,
hug,,B1 Preliminar,,,
lie,,B1 Preliminar,,,
mix,,B1 Preliminar,,,
pay,,B1 Preliminar,,,
pin,,B1 Preliminar,,,
set,,B1 Preliminar,,,
ski,,B1 Preliminar,,,
use,,B1 Preliminar,,,
add,,B1 Preliminar,,,
dig,,B1 Preliminar,,,
fix,,B1 Preliminar,,,
get,,B1 Preliminar,,,
jog,,B1 Preliminar,,,
lay,,B1 Preliminar,,,
let,,B1 Preliminar,,,
owe,,B1 Preliminar,,,
put,,B1 Preliminar,,,
rob,,B1 Preliminar,,,
see,,B1 Preliminar,,,
sew,,B1 Preliminar,,,
sit,,B1 Preliminar,,,
try,,B1 Preliminar,,,
act,,A1 Movers,,,
add,,Pre A1 Starters,,,
buy,,A1 Movers,,,
can,,Pre A1 Starters,,,
fix,,A1 Movers,,,
got,,A1 Movers,,,
hit,,Pre A1 Starters,,,
let,,A1 Movers,,,
lie,,A2 Flyers,,,
mix,,A2 Flyers,,,
put,,Pre A1 Starters,,,
say,,Pre A1 Starters,,,
see,,Pre A1 Starters,,,
use,,A2 Flyers,,,
wear,,Pre A1 Starters,,,
ring,,B1 Preliminar,,,
suit,,B1 Preliminar,,,
knit,,B1 Preliminar,,,
chat,,B1 Preliminar,,,
dial,,B1 Preliminar,,,
drag,,B1 Preliminar,,,
book,,B1 Preliminar,,,
note,,B1 Preliminar,,,
talk,,B1 Preliminar,,,
test,,B1 Preliminar,,,
text,,B1 Preliminar,,,
know,,B1 Preliminar,,,
read,,B1 Preliminar,,,
film,,B1 Preliminar,,,
play,,B1 Preliminar,,,
draw,,B1 Preliminar,,,
live,,Pre A1 Starters,,,
fish,,B1 Preliminar,,,
hurt,,B1 Preliminar,,,
comb,,B1 Preliminar,,,
fall,,B1 Preliminar,,,
hand,,B1 Preliminar,,,
swim,,B1 Preliminar,,,
feel,,B1 Preliminar,,,
camp,,B1 Preliminar,,,
hire,,B1 Preliminar,,,
park,,B1 Preliminar,,,
walk,,B1 Preliminar,,,
hike,,B1 Preliminar,,,
iron,,B1 Preliminar,,,
lift,,B1 Preliminar,,,
lock,,B1 Preliminar,,,
plug,,B1 Preliminar,,,
rent,,B1 Preliminar,,,
sink,,B1 Preliminar,,,
joke,,B1 Preliminar,,,
mean,,B1 Preliminar,,,
tell,,B1 Preliminar,,,
cool,,B1 Preliminar,,,
shop,,B1 Preliminar,,,
land,,B1 Preliminar,,,
find,,A1 Movers,,,
look,,Pre A1 Starters,,,
tell,,Pre A1 Starters,,,
save,,B1 Preliminar,,,
sell,,B1 Preliminar,,,
jump,,B1 Preliminar,,,
race,,B1 Preliminar,,,
surf,,B1 Preliminar,,,
draw,,Pre A1 Starters,,,
join,,A2 Flyers,,,
jump,,Pre A1 Starters,,,
meet,,A2 Flyers,,,
play,,Pre A1 Starters,,,
read,,Pre A1 Starters,,,
sing,,Pre A1 Starters,,,
skip,,A1 Movers,,,
take,,A1 Movers,,,
grow,,B1 Preliminar,,,
date,,B1 Preliminar,,,
time,,B1 Preliminar,,,
ride,,B1 Preliminar,,,
move,,B1 Preliminar,,,
rain,,B1 Preliminar,,,
snow,,B1 Preliminar,,,
blow,,B1 Preliminar,,,
land,,A2 Flyers,,,
cook,,B1 Preliminar,,,
work,,B1 Preliminar,,,
earn,,B1 Preliminar,,,
quit,,B1 Preliminar,,,
last,,B1 Preliminar,,,
open,,B1 Preliminar,,,
shut,,B1 Preliminar,,,
tidy,,B1 Preliminar,,,
have,,B1 Preliminar,,,
must,,B1 Preliminar,,,
will,,B1 Preliminar,,,
bath,,B1 Preliminar,,,
bomb,,B1 Preliminar,,,
call,,B1 Preliminar,,,
care,,B1 Preliminar,,,
copy,,B1 Preliminar,,,
cost,,B1 Preliminar,,,
cure,,B1 Preliminar,,,
drop,,B1 Preliminar,,,
form,,B1 Preliminar,,,
help,,B1 Preliminar,,,
hope,,B1 Preliminar,,,
kick,,B1 Preliminar,,,
kiss,,B1 Preliminar,,,
look,,B1 Preliminar,,,
love,,B1 Preliminar,,,
mail,,B1 Preliminar,,,
mind,,B1 Preliminar,,,
name,,B1 Preliminar,,,
pass,,B1 Preliminar,,,
plan,,B1 Preliminar,,,
post,,B1 Preliminar,,,
push,,B1 Preliminar,,,
rest,,B1 Preliminar,,,
rule,,B1 Preliminar,,,
sail,,B1 Preliminar,,,
show,,B1 Preliminar,,,
sign,,B1 Preliminar,,,
stay,,B1 Preliminar,,,
stop,,B1 Preliminar,,,
tear,,B1 Preliminar,,,
tick,,B1 Preliminar,,,
tour,,B1 Preliminar,,,
turn,,B1 Preliminar,,,
type,,B1 Preliminar,,,
vote,,B1 Preliminar,,,
wait,,B1 Preliminar,,,
wash,,B1 Preliminar,,,
wave,,B1 Preliminar,,,
wish,,B1 Preliminar,,,
like,,B1 Preliminar,,,
bake,,B1 Preliminar,,,
beat,,B1 Preliminar,,,
bite,,B1 Preliminar,,,
boil,,B1 Preliminar,,,
burn,,B1 Preliminar,,,
bury,,B1 Preliminar,,,
clap,,B1 Preliminar,,,
come,,B1 Preliminar,,,
deal,,B1 Preliminar,,,
dive,,B1 Preliminar,,,
fail,,B1 Preliminar,,,
feed,,B1 Preliminar,,,
fill,,B1 Preliminar,,,
find,,B1 Preliminar,,,
flow,,B1 Preliminar,,,
fold,,B1 Preliminar,,,
gain,,B1 Preliminar,,,
give,,B1 Preliminar,,,
grab,,B1 Preliminar,,,
hang,,B1 Preliminar,,,
hate,,B1 Preliminar,,,
hear,,B1 Preliminar,,,
hide,,B1 Preliminar,,,
hold,,B1 Preliminar,,,
hunt,,B1 Preliminar,,,
join,,B1 Preliminar,,,
keep,,B1 Preliminar,,,
kill,,B1 Preliminar,,,
lend,,B1 Preliminar,,,
